Países,Código NCM,Descrição NCM,Unidade estatística,Ano,Valor_FOB_USD,Peso_Kg,Quantidade
Estados Unidos,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,163930808,238503378,240178
Colômbia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,130007859,231486830,231507
Tailândia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,59062258,111797600,111798
Canadá,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,15436981,21200123,21196
China,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,12471103,21567407,22017
Marrocos,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,4942053,6648800,6649
Malásia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,3538950,5925601,5925
França,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,2601998,3579642,3584
Alemanha,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,1915753,2763944,2794
Reino Unido,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,1321880,2166934,2341
Itália,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,679646,989847,988
Nova Zelândia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,487106,827375,827
Reino Unido,22072019,Outro álcool etílico desnaturado,LITRO,2024,457760,328848,408000
Austrália,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,176187,233620,232
Alemanha,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2024,175756,95040,95
Filipinas,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,157968,200093,200
Suécia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,49524,75000,75
Canadá,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2024,39732,24025,24
Índia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,18032,30145,30
Nova Zelândia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2024,9900,3240,3
Reino Unido,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2024,3019,990,21
Estados Unidos,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2024,2291,1321,2
Dinamarca,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,2230,1401,95
Austrália,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2024,1404,600,1
Suíça,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,771,455,60
China,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2024,587,94,94
Tailândia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2024,140,0,0
Dinamarca,22072019,Outro álcool etílico desnaturado,LITRO,2024,108,25,25
Filipinas,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2024,93,0,0
Suíça,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2024,41,16,0
França,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2024,0,0,0
Malásia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2024,0,0,0
Índia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2024,0,0,0
Egito,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2024,0,0,0
Estados Unidos,22072019,Outro álcool etílico desnaturado,LITRO,2024,0,0,0
China,22072019,Outro álcool etílico desnaturado,LITRO,2024,0,0,0
Dinamarca,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2024,0,0,0
Tailândia,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2024,0,0,0
Tailândia,22072019,Outro álcool etílico desnaturado,LITRO,2024,0,0,0
Índia,22072019,Outro álcool etílico desnaturado,LITRO,2024,0,0,0
Alemanha,22072019,Outro álcool etílico desnaturado,LITRO,2024,0,0,0
Canadá,22072019,Outro álcool etílico desnaturado,LITRO,2024,0,0,0
Filipinas,22072019,Outro álcool etílico desnaturado,LITRO,2024,0,0,0
Itália,22072019,Outro álcool etílico desnaturado,LITRO,2024,0,0,0
Suécia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2024,0,0,0
Suíça,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2024,0,0,0
China,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2024,0,0,0
Reino Unido,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2024,0,0,0
Filipinas,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2024,0,0,0
Itália,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2024,0,0,0
França,22072019,Outro álcool etílico desnaturado,LITRO,2024,0,0,0
Colômbia,22072019,Outro álcool etílico desnaturado,LITRO,2024,0,0,0
Estados Unidos,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2024,0,0,0
Alemanha,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2024,0,0,0
Nova Zelândia,22072019,Outro álcool etílico desnaturado,LITRO,2024,0,0,0
Estados Unidos,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,151536079,226018868,229436
Colômbia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,89449445,151376850,151680
Tailândia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,37371460,65049990,65100
Canadá,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,10433436,15398363,15450
China,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,56192228,100794844,101059
Marrocos,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,10,19,0
Malásia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,2704864,4445175,4445
França,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,5010518,7606300,7608
Alemanha,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,617905,898755,905
Reino Unido,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,17210856,26177047,27532
Itália,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,698691,1046288,7442
Nova Zelândia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,184905,263500,264
Reino Unido,22072019,Outro álcool etílico desnaturado,LITRO,2023,215040,154752,192000
Austrália,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,218260,332600,333
Alemanha,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,122923,60032,60
Filipinas,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,110266,145240,145
Suécia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,32670,49500,50
Canadá,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,0,0,0
Índia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,194,58,0
Nova Zelândia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,8670,3240,3
Reino Unido,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,5,2,0
Estados Unidos,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,12382,17608,202
Dinamarca,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,728844,1123146,1265
Austrália,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,1980,900,1
Suíça,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,45898756,90666430,90766
China,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2023,131,30,30
Tailândia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,0,0,0
Dinamarca,22072019,Outro álcool etílico desnaturado,LITRO,2023,0,0,0
Filipinas,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,0,0,0
Suíça,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,0,0,0
França,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2023,266,12,15
Malásia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,28,10,10
